timestamp,acc_x,acc_y,acc_z,label
1.55E+12,-0.029,5.509,8.665,BSC
1.55E+12,0.134,5.452,9.316,BSC
1.55E+12,-0.192,5.461,8.821,BSC
1.55E+12,-0.572,5.564,7.906,BSC
1.55E+12,-0.441,5.545,7.681,BSC
1.55E+12,-0.057,5.483,7.616,BSC
1.55E+12,0.084,5.56,7.829,BSC
1.55E+12,0.144,5.428,8.241,BSC
1.55E+12,-0.041,5.191,8.586,BSC
1.55E+12,-0.213,5.356,8.83,BSC
1.55E+12,0.074,5.296,8.421,BSC
1.55E+12,0.299,5.552,8.358,BSC
1.55E+12,0.309,5.54,8.253,BSC
1.55E+12,0.201,5.488,8.215,BSC
1.55E+12,0.132,5.591,7.992,BSC
1.55E+12,0.187,5.629,7.844,BSC
1.55E+12,0.354,5.548,7.647,BSC
1.55E+12,0.472,5.722,7.568,BSC
1.55E+12,0.168,5.741,7.41,BSC
1.55E+12,0.16,5.756,7.69,BSC
1.55E+12,0.263,5.665,7.851,BSC
1.55E+12,0.302,5.686,7.985,BSC
1.55E+12,0.436,5.78,7.889,BSC
1.55E+12,0.402,5.852,7.791,BSC
1.55E+12,0.225,5.931,7.705,BSC
1.55E+12,0.244,6.012,7.602,BSC
1.55E+12,0.192,6.058,7.628,BSC
1.55E+12,0.043,6.192,7.69,BSC
1.55E+12,0.235,6.218,7.942,BSC
1.55E+12,0.297,6.352,7.935,BSC
1.55E+12,0.285,6.271,7.836,BSC
1.55E+12,0.254,6.311,7.824,BSC
1.55E+12,0.199,6.275,7.906,BSC
1.55E+12,0.153,6.23,7.88,BSC
1.55E+12,0.182,6.208,7.836,BSC
1.55E+12,0.189,6.117,7.832,BSC
1.55E+12,0.153,6.089,7.801,BSC
1.55E+12,0.12,6.129,7.542,BSC
1.55E+12,0.184,6.148,7.417,BSC
1.55E+12,0.266,6.139,7.259,BSC
1.55E+12,0.309,6.139,7.109,BSC
1.55E+12,0.136,6.184,7.183,BSC
1.55E+12,0.05,6.172,7.202,BSC
1.55E+12,7.334,-2.255,-6.637,BSC
1.55E+12,6.627,-2.674,-6.455,BSC
1.55E+12,7.619,-3.522,-6.407,BSC
1.55E+12,7.24,-3.515,-6.117,BSC
1.55E+12,7.635,-3.579,-5.775,BSC
1.55E+12,7.669,-4.264,-5.859,BSC
1.55E+12,7.805,-4.398,-5.169,BSC
1.55E+12,7.437,-4.142,-4.523,BSC
1.55E+12,7.7,-5.145,-4.432,BSC
1.55E+12,7.372,-6.204,-4.951,BSC
1.55E+12,7.085,-6.072,-5.909,BSC
1.55E+12,6.441,-5.078,-5.919,BSC
1.55E+12,6.661,-5.119,-6.247,BSC
1.55E+12,6.967,-4.863,-6.038,BSC
1.55E+12,6.295,-4.475,-6.663,BSC
1.55E+12,5.926,-4.425,-7.034,BSC
1.55E+12,5.981,-3.872,-6.546,BSC
1.55E+12,5.797,-3.84,-6.623,BSC
1.55E+12,6.165,-5.445,-8.124,BSC
1.55E+12,6.431,-6.421,-7.075,BSC
1.55E+12,6.587,-6.644,-6.936,BSC
1.55E+12,6.481,-7.37,-6.398,BSC
1.55E+12,6.658,-7.587,-6.177,BSC
1.55E+12,6.103,-8.306,-4.341,BSC
1.55E+12,8.418,-6.869,-4.65,BSC
1.55E+12,6.196,-5.552,-4.659,BSC
1.55E+12,6.809,-6.838,-3.876,BSC
1.55E+12,7.619,-7.592,-2.5,BSC
1.55E+12,7.458,-6.742,-2.909,BSC
1.55E+12,6.735,-6.704,-2.397,BSC
1.55E+12,7.094,-6.491,-1.975,BSC
1.55E+12,6.556,-7.068,-1.719,BSC
1.55E+12,6.742,-7.281,-1.987,BSC
1.55E+12,6.172,-6.644,-2.066,BSC
1.55E+12,7.01,-6.488,-1.609,BSC
1.55E+12,6.553,-5.962,-1.846,BSC
1.55E+12,6.915,-5.294,-1.288,BSC
1.55E+12,7.121,-4.75,-0.62,BSC
1.55E+12,6.484,-4.508,-0.601,BSC
1.55E+12,6.781,-4.733,-1.587,BSC
1.55E+12,6.896,-4.597,-1.733,BSC
1.55E+12,6.754,-4.413,-1.482,BSC
1.55E+12,6.647,-4.585,-1.336,BSC
1.55E+12,6.917,-3.412,-1.832,BSC
1.55E+12,6.718,-3.939,-0.848,BSC
1.55E+12,7.389,-5.198,0.065,BSC
1.55E+12,7.738,-4.908,0.421,BSC
1.55E+12,6.524,-5.006,0.397,BSC
1.55E+12,8.236,-6.443,1.212,BSC
1.55E+12,7.736,-5.741,2.308,BSC
1.55E+12,8.196,-6.967,3.661,BSC
1.55E+12,10.298,-9.28,5.196,BSC
1.55E+12,9.654,-10.583,4.827,BSC
1.55E+12,9.232,-10.341,6.726,BSC
1.55E+12,10.087,-9.678,7.554,BSC
1.55E+12,10.135,-9.489,6.52,BSC
1.55E+12,9.172,-9.788,6.685,BSC
1.55E+12,8.792,-9.692,6.62,BSC
1.55E+12,8.057,-9.216,7.669,BSC
1.55E+12,7.93,-8.713,7.066,BSC
1.55E+12,7.501,-8.006,6.371,BSC
1.55E+12,7.006,-7.044,6.065,BSC
1.55E+12,6.984,-7.001,5.052,BSC
1.55E+12,7.662,-7.599,4.963,BSC
1.55E+12,7.87,-6.898,4.341,BSC
1.55E+12,7.221,-6.225,4.058,BSC
1.55E+12,7.391,-6.718,4.808,BSC
1.55E+12,7.525,-6.493,4.006,BSC
1.55E+12,7.932,-6.35,3.091,BSC
1.55E+12,8.133,-7.341,3.285,BSC
1.55E+12,8.272,-7.391,3.63,BSC
1.55E+12,8.023,-7.346,3.072,BSC
1.55E+12,7.784,-7.089,1.693,BSC
1.55E+12,7.817,-6.773,1.063,BSC
1.55E+12,8.289,-7.841,0.515,BSC
1.55E+12,7.154,-7.662,0.192,BSC
1.55E+12,7.123,-7.868,-0.206,BSC
1.55E+12,7.394,-8.047,-0.8,BSC
1.55E+12,5.562,-7.398,-0.982,BSC
1.55E+12,5.198,-8.277,-1.159,BSC
1.55E+12,4.762,-9.05,-1.913,BSC
1.55E+12,4.216,-7.978,-2.464,BSC
1.55E+12,4.93,-8.583,-4.104,BSC
1.55E+12,5.236,-6.8,-3.479,BSC
1.55E+12,6.091,-5.528,-0.127,BSC
1.55E+12,4.844,-3.886,3.807,BSC
1.55E+12,9.453,-1.944,-0.649,BSC
1.55E+12,9.273,-2.548,-2.545,BSC
1.55E+12,9.864,-2.545,-2.643,BSC
1.55E+12,10.559,-2.356,-1.743,BSC
1.55E+12,10.599,-2.423,-1.161,BSC
1.55E+12,9.453,-3.551,-0.766,BSC
1.55E+12,8.459,-4.068,-1.494,BSC
1.55E+12,7.844,-5.224,0.725,BSC
1.55E+12,7.753,-5.033,0.091,BSC
1.55E+12,7.791,-4.334,-0.395,BSC
1.55E+12,8.2,-4.71,-1.058,BSC
1.55E+12,7.954,-3.919,-2.217,BSC
1.55E+12,8.2,-2.557,-2.26,BSC
1.55E+12,9.232,-2.646,-1.951,BSC
1.55E+12,10.271,-4.372,2.155,BSC
1.55E+12,9.924,-4.877,0.67,BSC
1.55E+12,8.835,-4.76,-1.767,BSC
1.55E+12,9.589,-4.645,-2.148,BSC
1.55E+12,9.544,-5.179,-2.38,BSC
1.55E+12,9.216,-5.785,-2.097,BSC
1.55E+12,9.228,-5.885,-2.591,BSC
1.55E+12,8.988,-5.449,-1.844,BSC
1.55E+12,9.271,-4.482,-1.223,BSC
1.55E+12,9.287,-3.637,-0.34,BSC
1.55E+12,9.836,-2.782,-1.271,BSC
1.55E+12,9.577,-2.378,-1.7,BSC
1.55E+12,8.818,-2.761,-0.986,BSC
1.55E+12,9.103,-3.862,-1.36,BSC
1.55E+12,8.579,-4.676,-1.516,BSC
1.55E+12,9.431,-4.71,-2.576,BSC
1.55E+12,9.709,-4.288,-2.308,BSC
1.55E+12,8.777,-4.343,-1.592,BSC
1.55E+12,7.341,-4.461,-0.821,BSC
1.55E+12,6.56,-4.046,-1.389,BSC
1.55E+12,7.575,-4.08,-1.604,BSC
1.55E+12,8.224,-3.553,-2.152,BSC
1.55E+12,8.993,-3.67,-0.555,BSC
1.55E+12,8.909,-4.468,0.666,BSC
1.55E+12,7.88,-5.495,-0.713,BSC
1.55E+12,8.078,-5.866,-1.844,BSC
1.55E+12,8.603,-5.734,-1.872,BSC
1.55E+12,8.514,-5.782,-1.767,BSC
1.55E+12,8.107,-5.655,-1.58,BSC
1.55E+12,8.322,-5.394,-1.494,BSC
1.55E+12,8.258,-4.798,-1.441,BSC
1.55E+12,8.873,-5.035,-1.477,BSC
1.55E+12,8.646,-5.473,-1.631,BSC
1.55E+12,8.622,-5.713,-2.121,BSC
1.55E+12,9.055,-5.689,-2.287,BSC
1.55E+12,9.623,-5.701,-1.98,BSC
1.55E+12,9.261,-6.029,-0.939,BSC
1.55E+12,8.849,-6.067,-0.438,BSC
1.55E+12,8.674,-5.82,-0.793,BSC
1.55E+12,8.715,-5.603,-0.682,BSC
1.55E+12,9.33,-5.284,-1.499,BSC
1.55E+12,9.943,-4.805,-1.25,BSC
1.55E+12,9.532,-4.638,-0.467,BSC
1.55E+12,8.593,-4.391,-1.008,BSC
1.55E+12,8.852,-3.759,-1.97,BSC
1.55E+12,9.443,-3.007,-3.014,BSC
1.55E+12,9.465,-3.469,-0.639,BSC
1.55E+12,8.421,-3.912,0.486,BSC
1.55E+12,7.494,-4.121,-0.208,BSC
1.55E+12,7.437,-3.872,-1.999,BSC
1.55E+12,7.274,-3.97,-1.721,BSC
1.55E+12,6.706,-4.836,-0.462,BSC
1.55E+12,8.066,-4.987,-1.046,BSC
1.55E+12,8.495,-4.434,-2.373,BSC
1.55E+12,8.311,-4.221,-2.172,BSC
1.55E+12,8.253,-4.176,-0.357,BSC
1.55E+12,7.836,-4.98,0.05,BSC
1.55E+12,7.599,-4.98,-1.508,BSC
1.55E+12,9.204,-4.664,-1.331,BSC
1.55E+12,10.422,-4.439,-1.798,BSC
1.55E+12,9.905,-5.028,-1.281,BSC
1.55E+12,8.837,-5.48,-0.632,BSC
1.55E+12,8.445,-5.612,-1.176,BSC
1.55E+12,8.334,-5.375,-1.492,BSC
1.55E+12,8.689,-4.903,-1.592,BSC
1.55E+12,8.643,-4.944,-1.231,BSC
1.55E+12,8.521,-5.497,-0.627,BSC
1.55E+12,9.189,-5.861,-0.46,BSC
1.55E+12,9.584,-4.686,-2.389,BSC
1.55E+12,10.236,-3.802,-2.363,BSC
1.55E+12,10.07,-3.34,-1.599,BSC
1.55E+12,9.682,-2.634,-1.619,BSC
1.55E+12,8.665,-2.519,-1.35,BSC
1.55E+12,6.29,-3.295,-1.348,BSC
1.55E+12,5.753,-4.832,0.084,BSC
1.55E+12,5.239,-4.121,-4.092,BSC
1.55E+12,7.441,-3.52,-3.704,BSC
1.55E+12,8.287,-3.146,-2.686,BSC
1.55E+12,10.688,-4.638,-0.819,BSC
1.55E+12,8.402,-3.623,-0.68,BSC
1.55E+12,4.851,-0.239,6.776,FKL
1.55E+12,6.067,-0.268,6.891,FKL
1.55E+12,6.374,-0.575,7.844,FKL
1.55E+12,6.749,-1.003,8.023,FKL
1.55E+12,7.92,-1.314,6.623,FKL
1.55E+12,8.045,-1.461,5.744,FKL
1.55E+12,8.483,-1.64,5.236,FKL
1.55E+12,9.453,-1.738,3.711,FKL
1.55E+12,11.785,-1.547,3.077,FKL
1.55E+12,13.611,-1.949,3.783,FKL
1.55E+12,13.406,-2.476,5.923,FKL
1.55E+12,12.058,-2.847,5.33,FKL
1.55E+12,10.829,-3.122,4.039,FKL
1.55E+12,10.738,-3.816,5.157,FKL
1.55E+12,11.991,-4.317,5.574,FKL
1.55E+12,13.204,-4.417,4.722,FKL
1.55E+12,13.248,-3.824,3.843,FKL
1.55E+12,12.642,-3.783,3.168,FKL
1.55E+12,12.967,-3.96,3.63,FKL
1.55E+12,13.032,-3.864,5.581,FKL
1.55E+12,12.093,-3.438,1.583,FKL
1.55E+12,10.523,-2.339,-0.785,FKL
1.55E+12,10.621,-2.955,-1.188,FKL
1.55E+12,8.385,-3.091,1.219,FKL
1.55E+12,4.013,-1.894,3.237,FKL
1.55E+12,8.459,-2.962,2.698,FKL
1.55E+12,12.623,-3.141,2.629,FKL
1.55E+12,13.044,-2.641,3.378,FKL
1.55E+12,-0.414,17.507,23.988,FKL
1.55E+12,6.144,44.251,-4.939,FKL
1.55E+12,7.085,45.92,1.425,FKL
1.55E+12,2.5,19.13,-3.742,FKL
1.55E+12,-0.821,2.196,0.826,FKL
1.55E+12,2.155,5.897,7.485,FKL
1.55E+12,4.154,12.4,0.951,FKL
1.55E+12,1.712,14.256,-1.228,FKL
1.55E+12,-0.098,12.041,1.271,FKL
1.55E+12,0.043,8.413,1.549,FKL
1.55E+12,1.233,4.88,0.898,FKL
1.55E+12,0.802,5.686,2.243,FKL
1.55E+12,1.24,8.303,3.302,FKL
1.55E+12,1.726,10.961,4.212,FKL
1.55E+12,0.996,11.722,4.269,FKL
1.55E+12,0.445,10.049,3.682,FKL
1.55E+12,0.709,8.832,4.324,FKL
1.55E+12,0.972,8.789,5.758,FKL
1.55E+12,1.279,8.792,5.375,FKL
1.55E+12,1.247,9.091,4.408,FKL
1.55E+12,1.276,9.232,4.147,FKL
1.55E+12,1.343,8.981,4.453,FKL
1.55E+12,1.171,8.378,4.317,FKL
1.55E+12,1.128,7.844,4.506,FKL
1.55E+12,1.279,7.458,4.53,FKL
1.55E+12,1.322,7.449,4.355,FKL
1.55E+12,1.362,7.82,4.35,FKL
1.55E+12,1.499,8.217,4.52,FKL
1.55E+12,1.499,8.607,4.911,FKL
1.55E+12,1.31,8.502,5.054,FKL
1.55E+12,1.092,8.394,5.009,FKL
1.55E+12,1.128,8.236,4.93,FKL
1.55E+12,1.291,8.21,4.973,FKL
1.55E+12,1.472,8.198,5.071,FKL
1.55E+12,1.52,8.1,4.892,FKL
1.55E+12,1.542,8.157,4.755,FKL
1.55E+12,1.492,8.157,4.657,FKL
1.55E+12,1.355,8.102,4.583,FKL
1.55E+12,1.207,8.2,4.552,FKL
1.55E+12,1.104,8.433,4.731,FKL
1.55E+12,1.075,8.49,4.781,FKL
1.55E+12,1.307,8.258,4.372,FKL
1.55E+12,1.496,8.282,4.209,FKL
1.55E+12,1.607,8.224,4.451,FKL
1.55E+12,1.434,7.82,4.458,FKL
1.55E+12,1.319,7.621,4.24,FKL
1.55E+12,1.288,7.762,4.41,FKL
1.55E+12,1.298,8.155,5.069,FKL
1.55E+12,1.413,8.466,5.346,FKL
1.55E+12,1.714,8.121,5.265,FKL
1.55E+12,2.114,7.044,4.815,FKL
1.55E+12,2.069,6.548,4.516,FKL
1.55E+12,1.662,6.599,4.824,FKL
1.55E+12,1.001,6.647,5.469,FKL
1.55E+12,0.898,6.524,5.679,FKL
1.55E+12,1.032,6.642,5.825,FKL
1.55E+12,1.487,6.488,5.926,FKL
1.55E+12,1.678,5.813,5.552,FKL
1.55E+12,1.738,5.035,5.619,FKL
1.55E+12,1.283,4.642,5.914,FKL
1.55E+12,1.226,4.58,6.239,FKL
1.55E+12,1.492,4.628,6.532,FKL
1.55E+12,1.513,4.513,6.402,FKL
1.55E+12,1.264,4.422,5.512,FKL
1.55E+12,1.439,4.982,5.117,FKL
1.55E+12,0.824,5.136,6.398,FKL
1.55E+12,-0.5,4.959,7.338,FKL
1.55E+12,-1.829,5.543,10.963,FKL
1.55E+12,-2.643,3.026,7.884,FKL
1.55E+12,-2.713,0.065,7.425,FKL
1.55E+12,-2.847,-0.673,8.603,FKL
1.55E+12,-4.027,1.295,7.015,FKL
1.55E+12,-5.627,1.839,6.706,FKL
1.55E+12,-8.852,1.463,8.03,FKL
1.55E+12,-9.716,1.226,8.813,FKL
1.55E+12,-8.229,2.689,6.979,FKL
1.55E+12,-6.919,2.263,5.598,FKL
1.55E+12,-6.888,4.348,7.429,FKL
1.55E+12,-9.718,18.005,5.878,FKL
1.55E+12,-3.184,-34.688,15.431,FKL
1.55E+12,14.117,-2.105,-0.67,FKL
1.55E+12,13.214,-2.239,-1.372,FKL
1.55E+12,13.58,-2.658,-0.496,FKL
1.55E+12,14.416,-2.662,0.393,FKL
1.55E+12,14.605,-2.394,-0.445,FKL
1.55E+12,14.639,-2.361,-1.094,FKL
1.55E+12,14.756,-2.251,-2.2,FKL
1.55E+12,13.925,-2.033,-3.172,FKL
1.55E+12,13.53,-1.657,-8.586,FKL
1.55E+12,10.836,-2.694,-2.234,FKL
1.55E+12,9.206,-3.994,-1.736,FKL
1.55E+12,8.512,-4.324,-1.86,FKL
1.55E+12,8.61,-4.523,-0.668,FKL
1.55E+12,9.072,-4.135,-0.249,FKL
1.55E+12,8.665,-3.776,-0.065,FKL
1.55E+12,8.557,-3.366,0.141,FKL
1.55E+12,8.023,-4.312,0.192,FKL
1.55E+12,6.805,-5.009,-0.405,FKL
1.55E+12,7.892,-4.305,-1.82,FKL
1.55E+12,9.556,-3.601,-1.063,FKL
1.55E+12,9.721,-3.591,-1.451,FKL
1.55E+12,9.919,-2.394,0.642,FKL
1.55E+12,10.554,-3.527,3.57,FKL
1.55E+12,9.4,-3.936,3.259,FKL
1.55E+12,8.267,-3.948,-0.029,FKL
1.55E+12,7.18,-4.135,-1.973,FKL
1.55E+12,7.992,-4.283,-0.771,FKL
1.55E+12,7.92,-5.009,-2.729,FKL
1.55E+12,7.427,-5.234,-1.472,FKL
1.55E+12,8.062,-5.612,-0.534,FKL
1.55E+12,7.865,-5.078,-0.955,FKL
1.55E+12,7.765,-4.264,-1.52,FKL
1.55E+12,7.54,-3.867,-0.802,FKL
1.55E+12,9.005,-5.344,0.517,FKL
1.55E+12,8.459,-5.603,0.872,FKL
1.55E+12,9.074,-6.213,-1.276,FKL
1.55E+12,10.329,-7.245,-0.694,FKL
1.55E+12,11.919,-7.789,-0.883,FKL
1.55E+12,10.686,-7.652,-0.893,FKL
1.55E+12,8.603,-7.417,-0.304,FKL
