acc_x,acc_y,acc_z,label
1.075488676,-9.739613,-0.1340753,BSC
1.080242818,-9.739613,-0.1340753,BSC
1.086306699,-9.739613,-0.1340753,BSC
1.100943978,-9.739613,-0.1340753,BSC
1.078909248,-9.737510673,-0.128819589,BSC
1.113956384,-9.741644126,-0.123919346,BSC
1.083774641,-9.782176756,-0.109335555,BSC
1.102585071,-9.729618568,-0.10908972,BSC
1.065870686,-9.810536475,-0.105946055,BSC
1.109417975,-9.747985824,-0.09651388,BSC
1.126366247,-9.721691343,-0.089272057,BSC
1.053324185,-9.835629563,-0.089217376,BSC
1.124447846,-9.748638214,-0.08894778,BSC
0.978886131,-9.895150115,-0.076614454,BSC
1.008165666,-9.87685043,-0.076614454,BSC
1.036237328,-9.859305664,-0.076614454,BSC
0.964701362,-9.89602767,-0.058721519,BSC
1.134997779,-9.755671283,-0.053781309,BSC
0.947139655,-9.633509849,-0.035620502,BSC
0.960357665,-9.885168457,-0.028315701,BSC
1.145289637,-9.767240632,-0.024183125,BSC
0.942997082,-9.641609943,-0.013085339,BSC
1.154435581,-9.780959834,-0.001318249,BSC
0.956003535,-9.874283161,0.00216315,BSC
1.151756934,-9.780460187,0.009576807,BSC
1.138506138,-9.767209114,0.009576807,BSC
0.952312671,-9.636952064,0.019519161,BSC
1.137850501,-9.420176164,0.024345152,BSC
1.133304089,-9.753904734,0.025781264,BSC
1.121079873,-9.464596598,0.028136947,BSC
1.068366144,-9.652317394,0.031554592,BSC
0.951785037,-9.863736944,0.031692579,BSC
1.1527272,-9.395381667,0.034262957,BSC
1.078664273,-9.619597319,0.037823236,BSC
0.952656882,-9.632593362,0.039981831,BSC
1.055049883,-9.678949545,0.040432105,BSC
0.939510788,-9.628211247,0.044363857,BSC
1.102046688,-9.531212646,0.047170145,BSC
1.138695655,-9.776739568,0.048592292,BSC
0.931902263,-9.628381011,0.048622035,BSC
1.045227095,-9.702660123,0.049916676,BSC
1.087514643,-9.584195562,0.0510988,BSC
